group	letters	years	shelfmarks_arks	estimated_signs	known_key	copy_free_share	read_by	source_files
[DECODE:British Library] to add 4107	1	1711-1712	BL_Add_MS_4107_184	unknown (~3 pages on record, not signs)	none (DECODE non-decrypted)	0/1	none on record	sources/decode/records-non-decrypted-2026-09-24.tsv
[DECODE:British Library] to add 32657	1	1547-1590	BL_Add_MS_32657_173-174	unknown (~3 pages on record, not signs)	none (DECODE non-decrypted)	0/1	none on record	sources/decode/records-non-decrypted-2026-09-24.tsv
[DECODE:Zentralbibliothek Zürich] to sch 201	1	1618-1618	Mögling, 'Speculum sophicum rhodo-stauroticum'	unknown (~1 pages on record, not signs)	none (DECODE non-decrypted)	0/1	none on record	sources/decode/records-non-decrypted-2026-09-24.tsv
[DECODE:Embassy of the Free Mind]	1	1616-1616	Johann Valentin Andreae, 'Chymische Hochzeit Christiani Rosenkreutz'	unknown (~4 pages on record, not signs)	none (DECODE non-decrypted)	0/1	none on record	sources/decode/records-non-decrypted-2026-09-24.tsv
[DECODE:Bibliothèque nationale de France (BnF)] to français 20506	1	1525-1550	BnF_fr20506_f136	unknown (~5 pages on record, not signs)	none (DECODE non-decrypted)	0/1	none on record	sources/decode/records-non-decrypted-2026-09-24.tsv
[DECODE:National Library of Sweden]	1	1717-1721	National Library of Sweden Baron von Görtz	unknown (~4 pages on record, not signs)	none (DECODE non-decrypted)	0/1	none on record	sources/decode/records-non-decrypted-2026-09-24.tsv
[DECODE:Carolina Rediviva]	1	unknown	Carolina-Rediviva-Uppsala-C513-Sequentiarium	unknown (~1 pages on record, not signs)	none (DECODE non-decrypted)	0/1	none on record	sources/decode/records-non-decrypted-2026-09-24.tsv
[DECODE:Bibliotheque nationale de France (BnF)] to français 3077	1	1626-1629	BNF_Français_3077_145	unknown (~3 pages on record, not signs)	none (DECODE non-decrypted)	0/1	none on record	sources/decode/records-non-decrypted-2026-09-24.tsv
[DECODE:Bibliotheque nationale de France (BnF)] to français 3070	1	1530-1530	BNF_Français_3070_081	unknown (~2 pages on record, not signs)	none (DECODE non-decrypted)	0/1	none on record	sources/decode/records-non-decrypted-2026-09-24.tsv
[DECODE:Bibliotheque nationale de France (BnF)] to français 3045	1	1536-1536	BNF_Français_3045_042	unknown (~14 pages on record, not signs)	none (DECODE non-decrypted)	0/1	none on record	sources/decode/records-non-decrypted-2026-09-24.tsv
[DECODE:Bibliotheque nationale de France (BnF)] to français 3045	1	1528-1528	BNF_Français_3045_028	unknown (~1 pages on record, not signs)	none (DECODE non-decrypted)	0/1	none on record	sources/decode/records-non-decrypted-2026-09-24.tsv
[DECODE:Bibliotheque nationale de France (BnF)] to français 3979	1	1590-1590	BNF_Français_3979_092	unknown (~4 pages on record, not signs)	none (DECODE non-decrypted)	0/1	none on record	sources/decode/records-non-decrypted-2026-09-24.tsv
[DECODE:The Swedish National Archive] to riksarkivet	1	1637-1637	Oxenstierna	unknown (~3 pages on record, not signs)	none (DECODE non-decrypted)	0/1	none on record	sources/decode/records-non-decrypted-2026-09-24.tsv
[DECODE:Bibliotheque nationale de France (BnF)] to français 3091	1	1520-1540	BNF_Français_3091_045-047	unknown (~6 pages on record, not signs)	none (DECODE non-decrypted)	0/1	none on record	sources/decode/records-non-decrypted-2026-09-24.tsv
[DECODE:Bibliotheque nationale de France (BnF)] to français 3091	1	1535-1535	BNF_Français_3091_025	unknown (~2 pages on record, not signs)	none (DECODE non-decrypted)	0/1	none on record	sources/decode/records-non-decrypted-2026-09-24.tsv
[DECODE:Bibliotheque nationale de France (BnF)] to français 3083	1	1520-1540	BNF_Français_3083_020-021	unknown (~3 pages on record, not signs)	none (DECODE non-decrypted)	0/1	none on record	sources/decode/records-non-decrypted-2026-09-24.tsv
[DECODE:Bibliotheque nationale de France (BnF)] to français 3022	1	1530-1540	BNF_Français_3029_164	unknown (~2 pages on record, not signs)	none (DECODE non-decrypted)	0/1	none on record	sources/decode/records-non-decrypted-2026-09-24.tsv
[DECODE:]	1	1742-1742	BL_Add_MS_32305_014-017	unknown (~5 pages on record, not signs)	none (DECODE non-decrypted)	0/1	none on record	sources/decode/records-non-decrypted-2026-09-24.tsv
[DECODE:Beinecke Rare Book and Manuscript Library] to mellon	1	1525-1525	Yale_Beinecke_ Mellon_MS_29_Lumen_luminum	unknown (~68 pages on record, not signs)	none (DECODE non-decrypted)	0/1	none on record	sources/decode/records-non-decrypted-2026-09-24.tsv
[DECODE:Universitätsbibliothek Heidelberg] to cod pal	1	1426-1426	Codex_Palatinus_Germanicus_597	unknown (~85 pages on record, not signs)	none (DECODE non-decrypted)	0/1	none on record	sources/decode/records-non-decrypted-2026-09-24.tsv
[DECODE:Beinecke Rare Book and Manuscript Library] to mellon 136	1	1798-1798	Yale_Beinecke_Mellon_MS_136	unknown (~129 pages on record, not signs)	none (DECODE non-decrypted)	0/1	none on record	sources/decode/records-non-decrypted-2026-09-24.tsv
[DECODE:Beinecke Rare Book and Manuscript Library] to osborn fc37	1	1699-1700	Yale_Beinecke_ OSB_fc37_box03_folder10	unknown (~2 pages on record, not signs)	none (DECODE non-decrypted)	0/1	none on record	sources/decode/records-non-decrypted-2026-09-24.tsv
[DECODE:]	1	1550-1574	Charles_IX_to_Philibert_du_Croc	unknown (~2 pages on record, not signs)	none (DECODE non-decrypted)	0/1	none on record	sources/decode/records-non-decrypted-2026-09-24.tsv
[DECODE:]	1	1567-1567	Catherine_de_Medicis_to_Philibert_du_Croc	unknown (~1 pages on record, not signs)	none (DECODE non-decrypted)	0/1	none on record	sources/decode/records-non-decrypted-2026-09-24.tsv
[DECODE:Bibliothèque nationale de France] to baluze 155	1	1631-1631	BnF_Baluze155_f79	unknown (~1 pages on record, not signs)	none (DECODE non-decrypted)	0/1	none on record	sources/decode/records-non-decrypted-2026-09-24.tsv
[DECODE:Bibliothèque nationale de France] to melanges colbert	1	1665-1665	BnF_Mel127_f349	unknown (~1 pages on record, not signs)	none (DECODE non-decrypted)	0/1	none on record	sources/decode/records-non-decrypted-2026-09-24.tsv
[DECODE:Bibliothèque nationale de France] to français 3081	1	1520-1530	BnF_fr3081_f41	unknown (~2 pages on record, not signs)	none (DECODE non-decrypted)	0/1	none on record	sources/decode/records-non-decrypted-2026-09-24.tsv
[DECODE:Bibliothèque nationale de France] to français 3019	1	unknown	BnF_fr3019_f73	unknown (~3 pages on record, not signs)	none (DECODE non-decrypted)	0/1	none on record	sources/decode/records-non-decrypted-2026-09-24.tsv
[DECODE:Bibliothèque nationale de France] to clairambault 328	1	1528-1528	BnF_Clair328_f291	unknown (~1 pages on record, not signs)	none (DECODE non-decrypted)	0/1	none on record	sources/decode/records-non-decrypted-2026-09-24.tsv
[DECODE:Bibliothèque nationale de France] to clairambault 325	1	1526-1526	BnF_Clair325_f84	unknown (~1 pages on record, not signs)	none (DECODE non-decrypted)	0/1	none on record	sources/decode/records-non-decrypted-2026-09-24.tsv
[DECODE:Bibliothèque nationale de France] to cinq cents	1	1594-1594	BnF_500Colbert33_f539	unknown (~1 pages on record, not signs)	none (DECODE non-decrypted)	0/1	none on record	sources/decode/records-non-decrypted-2026-09-24.tsv
[DECODE:Bibliothèque nationale de France] to français 20974	1	1556-1556	BnF_fr20974_p1	unknown (~3 pages on record, not signs)	none (DECODE non-decrypted)	0/1	none on record	sources/decode/records-non-decrypted-2026-09-24.tsv
[DECODE:Koninklijk Huisarchief (KHA)] to koning willem	1	1795-1795	KHA_A35_KWI_inr.XVIII-3_Prince_Frederick_to_ Heredary_Prince_1795-05-07	unknown (~4 pages on record, not signs)	none (DECODE non-decrypted)	0/1	none on record	sources/decode/records-non-decrypted-2026-09-24.tsv
[DECODE:Koninklijk Huisarchief (KHA)] to prins willem	1	1804-1804	KHA_A31_PWV_inr.337_Robert Fagel_to_His_Highness_1804-06-18	unknown (~3 pages on record, not signs)	none (DECODE non-decrypted)	0/1	none on record	sources/decode/records-non-decrypted-2026-09-24.tsv
[DECODE:Koninklijk Huisarchief (KHA)] to wilhelmina prinses	1	1801-1801	KHA_A32_inr. 192_Wolff_to_Wilhelmina_of_ Prussia_1801-07-25	unknown (~3 pages on record, not signs)	none (DECODE non-decrypted)	0/1	none on record	sources/decode/records-non-decrypted-2026-09-24.tsv
[DECODE:Österreichisches Staatsarchiv] to haus	1	1816-1816	ÖStA_HHStA_Stk_Int_Chiffrenschlüssel_fasc_altad_27_030-040	unknown (~20 pages on record, not signs)	none (DECODE non-decrypted)	0/1	none on record	sources/decode/records-non-decrypted-2026-09-24.tsv
[DECODE:Österreichisches Staatsarchiv] to haus	1	1670-1679	ÖStA_HHStA_Stk_Int_Chiffrenschlüssel_fasc_27_055-056	unknown (~3 pages on record, not signs)	none (DECODE non-decrypted)	0/1	none on record	sources/decode/records-non-decrypted-2026-09-24.tsv
[DECODE:Nationaal Archief] to spiegel	1	1793-1793	NA_3.01.26_inr.212_F.G._ van__Dedem_to_ L.P._vande_Spiegel_1793-02-09	unknown (~4 pages on record, not signs)	none (DECODE non-decrypted)	0/1	none on record	sources/decode/records-non-decrypted-2026-09-24.tsv
[DECODE:Nationaal Archief] to ministerie buitenlandse	1	1799-1799	NA_2.01.08_BuZa1796-1810_invnr_346_F.G. _van_Dedem_to_Agent_van_Staat_1799-08-26	unknown (~4 pages on record, not signs)	none (DECODE non-decrypted)	0/1	none on record	sources/decode/records-non-decrypted-2026-09-24.tsv
[DECODE:Bibliotheque National Ancien Fonds inv.nr. 2988]	1	1520-1529	BNdF__AncienFonds_invnr.2988ff9-11	unknown (~4 pages on record, not signs)	none (DECODE non-decrypted)	0/1	none on record	sources/decode/records-non-decrypted-2026-09-24.tsv
[DECODE:Nationaal Archief] to staten generaal	1	1793-1793	NA_1.01.02._SG_inr.6695_A.W._van_Reede__to_Secret_Committee_1793-03-24	unknown (~4 pages on record, not signs)	none (DECODE non-decrypted)	0/1	none on record	sources/decode/records-non-decrypted-2026-09-24.tsv
[DECODE:Algemeen Rijksarchief] to sécretairerie lsquot	1	1640-1640	ARA_Brus_SEA_inr.540_1640-02-22_Ferdinand III_to_ Cardinal-Infant_Ferdinand	unknown (~2 pages on record, not signs)	none (DECODE non-decrypted)	0/1	none on record	sources/decode/records-non-decrypted-2026-09-24.tsv
[DECODE:Beinecke Rare Book & Manuscript Library] to 408	1	1400-1599	Voynich Manuscript	unknown (~205 pages on record, not signs)	none (DECODE non-decrypted)	0/1	none on record	sources/decode/records-non-decrypted-2026-09-24.tsv
[DECODE:State Archives of Venice] to asve 0045	1	1761-1761	SAV_IT_ASVe_B30_178	unknown (~5 pages on record, not signs)	none (DECODE non-decrypted)	0/1	none on record	sources/decode/records-non-decrypted-2026-09-24.tsv
[DECODE:State Archives of Venice] to asve 0045	1	unknown	SAV_IT_ASVe_B30_174	unknown (~14 pages on record, not signs)	none (DECODE non-decrypted)	0/1	none on record	sources/decode/records-non-decrypted-2026-09-24.tsv
[DECODE:State Archives of Venice] to asve 0045	1	1628-1628	SAV_IT_ASVe_B27_354	unknown (~4 pages on record, not signs)	none (DECODE non-decrypted)	0/1	none on record	sources/decode/records-non-decrypted-2026-09-24.tsv
[DECODE:Folkrörelsearkivet i Västerbotten]	1	unknown	Sami	unknown (~2 pages on record, not signs)	none (DECODE non-decrypted)	0/1	none on record	sources/decode/records-non-decrypted-2026-09-24.tsv
[DECODE:Österreichisches Staatsarchiv] to haus	1	1640-1640	ÖStA_HHStA_Familycorrespondence_A_box11_ FerdinandIII_to Leopold Wilhelm_1640-07-20	unknown (~4 pages on record, not signs)	none (DECODE non-decrypted)	0/1	none on record	sources/decode/records-non-decrypted-2026-09-24.tsv
[DECODE:National Library of Spain] to mss 20213	1	1522-1522	NLS_MSS_20213_27	unknown (~3 pages on record, not signs)	none (DECODE non-decrypted)	0/1	none on record	sources/decode/records-non-decrypted-2026-09-24.tsv
[DECODE:National Library of Spain] to mss 20211	1	1478-1478	NLS_MSS_20211_123	unknown (~2 pages on record, not signs)	none (DECODE non-decrypted)	0/1	none on record	sources/decode/records-non-decrypted-2026-09-24.tsv
[DECODE:Koninklijk Huisarchief] to prins willem	1	1763-1763	KHA_A31_PWV_inr196_W.B._von_der_ Hellen_to_Frederick the Great_1763-04-15	unknown (~2 pages on record, not signs)	none (DECODE non-decrypted)	0/1	none on record	sources/decode/records-non-decrypted-2026-09-24.tsv
[DECODE:Nationaal Archief]	1	1787-1787	NA_1.01.02_SG_inr7408_by_J.I.__de_Swart_1787-11-29	unknown (~23 pages on record, not signs)	none (DECODE non-decrypted)	0/1	none on record	sources/decode/records-non-decrypted-2026-09-24.tsv
[DECODE:Nationaal Archief] to staten generaal	1	1785-1785	NA_1.01.02_SG_inr7407_by_C.A._graaf_van_Rechteren_1785-10-04	unknown (~5 pages on record, not signs)	none (DECODE non-decrypted)	0/1	none on record	sources/decode/records-non-decrypted-2026-09-24.tsv
[DECODE:Nationaal Archief] to pieter bleiswijk	1	1782-1782	NA_3.01.25_P._van_Bleiswijk_inr610_by_J.I._de_Swart_1782-03-08	unknown (~9 pages on record, not signs)	none (DECODE non-decrypted)	0/1	none on record	sources/decode/records-non-decrypted-2026-09-24.tsv
[DECODE:The National Archives]	1	unknown	TNA_SP106/10_UND_(0241-0243)	unknown (~3 pages on record, not signs)	none (DECODE non-decrypted)	0/1	none on record	sources/decode/records-non-decrypted-2026-09-24.tsv
[DECODE:Österreichisches Staatsarchiv] to haus	1	1664-1668	ÖStA_HHStA_UNG_FASC_327_KONV_D_30	unknown (~3 pages on record, not signs)	none (DECODE non-decrypted)	0/1	none on record	sources/decode/records-non-decrypted-2026-09-24.tsv
[DECODE:National Archives of Hungary] to e199 pallium	1	1664-1670	NAH_E199_8_1_01	unknown (~1 pages on record, not signs)	none (DECODE non-decrypted)	0/1	none on record	sources/decode/records-non-decrypted-2026-09-24.tsv
[DECODE:The National Archives] to state papers	1	1758-1758	TNA_SP106/7_Anne_(0020)	unknown (~1 pages on record, not signs)	none (DECODE non-decrypted)	0/1	none on record	sources/decode/records-non-decrypted-2026-09-24.tsv
[DECODE:Archivo General de Simancas] to españa	1	1509-1509	Catherine of Aragon	unknown (~3 pages on record, not signs)	none (DECODE non-decrypted)	0/1	none on record	sources/decode/records-non-decrypted-2026-09-24.tsv
[DECODE:Bibliotheca Apostolica Vaticana] to barb lat	1	unknown	BAV_Barb.lat_6956-22	unknown (~2 pages on record, not signs)	none (DECODE non-decrypted)	0/1	none on record	sources/decode/records-non-decrypted-2026-09-24.tsv
[DECODE:]	1	1710-1710	Desmaretz_1	unknown	none (DECODE non-decrypted)	0/1	none on record	sources/decode/records-non-decrypted-2026-09-24.tsv
[DECODE:Archivo General de Simancas] to sec estado	1	1543-1543	AGS_EST_LEG_59	unknown (~20 pages on record, not signs)	none (DECODE non-decrypted)	0/1	none on record	sources/decode/records-non-decrypted-2026-09-24.tsv
[DECODE:British Library] to add 32270	1	1719-1839	BL_Add_MS_32270_016	unknown (~2 pages on record, not signs)	none (DECODE non-decrypted)	0/1	none on record	sources/decode/records-non-decrypted-2026-09-24.tsv
[DECODE:Hessisches Staatsarchiv Marburg]	1	1635-1652	Hstam_4_d_nr_1218_49	unknown (~1 pages on record, not signs)	none (DECODE non-decrypted)	0/1	none on record	sources/decode/records-non-decrypted-2026-09-24.tsv
[DECODE:British Library] to add 32305	1	1700-1799	BL_Add_MS_32305_005	unknown (~2 pages on record, not signs)	none (DECODE non-decrypted)	0/1	none on record	sources/decode/records-non-decrypted-2026-09-24.tsv
[DECODE:private?]	1	1577-1577	Villeroi_to_Henry_III_1577	unknown (~3 pages on record, not signs)	none (DECODE non-decrypted)	0/1	none on record	sources/decode/records-non-decrypted-2026-09-24.tsv
[DECODE:Bibliothèque nationale de France] to français 18044	1	1617-1617	BnF_fr18044_f109	unknown (~3 pages on record, not signs)	none (DECODE non-decrypted)	0/1	none on record	sources/decode/records-non-decrypted-2026-09-24.tsv
[DECODE:Bibliothèque nationale de France] to français 18043	1	1615-1615	BnF_fr18043_f83	unknown (~3 pages on record, not signs)	none (DECODE non-decrypted)	0/1	none on record	sources/decode/records-non-decrypted-2026-09-24.tsv
[DECODE:Mantova State Archive]	1	unknown	Mantova enciphered letters	unknown (~5 pages on record, not signs)	none (DECODE non-decrypted)	0/1	none on record	sources/decode/records-non-decrypted-2026-09-24.tsv
[DECODE:Österreichisches Staatsarchiv] to haus	1	1575-1575	ÖStA_HHStA_Stk_Int_Chiffrenschlüssel_fasc_20_kt14_210-212	unknown (~4 pages on record, not signs)	none (DECODE non-decrypted)	0/1	none on record	sources/decode/records-non-decrypted-2026-09-24.tsv
[DECODE:Österreichisches Staatsarchiv] to haus	1	1540-1774	ÖStA_HHStA_Stk_Int_Chiffrenschlüssel_fasc_20_38-39	unknown (~4 pages on record, not signs)	none (DECODE non-decrypted)	0/1	none on record	sources/decode/records-non-decrypted-2026-09-24.tsv
[DECODE:National Library of Spain] to mss 20212	1	1522-1522	NLS_MSS_20212_39_1_2	unknown (~18 pages on record, not signs)	none (DECODE non-decrypted)	0/1	none on record	sources/decode/records-non-decrypted-2026-09-24.tsv
[DECODE:State Archives of Modena] to cpe 1622	1	1482-1482	SAMo_CPE_1622_b_1_3_2_2a	unknown (~1 pages on record, not signs)	none (DECODE non-decrypted)	0/1	none on record	sources/decode/records-non-decrypted-2026-09-24.tsv
[DECODE:State Archives of Modena] to carteggio principi	1	1504-1504	SAMo_Cart_1623_b_2_7_11	unknown (~1 pages on record, not signs)	none (DECODE non-decrypted)	0/1	none on record	sources/decode/records-non-decrypted-2026-09-24.tsv
[DECODE:State Archives of Milano] to 645	1	1491-1491	SAMi_Sf_645_1_1_7_1	unknown (~2 pages on record, not signs)	none (DECODE non-decrypted)	0/1	none on record	sources/decode/records-non-decrypted-2026-09-24.tsv
[DECODE:State Archives of Modena] to cancelleria	1	1482-1482	SAMo_Canc_1623_b_2_2_2_5a	unknown (~1 pages on record, not signs)	none (DECODE non-decrypted)	0/1	none on record	sources/decode/records-non-decrypted-2026-09-24.tsv
[DECODE:Algemeen Rijksarchief] to secretairerie lsquot	1	1577-1577	ARA_Brus_SEG_inr.2559_Doria_to_Fuenmayor_1677Aug03	unknown (~3 pages on record, not signs)	none (DECODE non-decrypted)	0/1	none on record	sources/decode/records-non-decrypted-2026-09-24.tsv
[DECODE:The National Archives] to syate papers	1	unknown	TNA_SP106/10_UND_(0184-0185)	unknown (~2 pages on record, not signs)	none (DECODE non-decrypted)	0/1	none on record	sources/decode/records-non-decrypted-2026-09-24.tsv
[DECODE:The National Archives] to state papers	1	1702-1837	TNA_SP106/7_Anne_(0091-0092)	unknown (~2 pages on record, not signs)	none (DECODE non-decrypted)	0/1	none on record	sources/decode/records-non-decrypted-2026-09-24.tsv
[DECODE:National Archives of Hungary] to p237 festetics	1	1711-1711	NAH_P237_FEST_10_D_2_42	unknown (~6 pages on record, not signs)	none (DECODE non-decrypted)	0/1	none on record	sources/decode/records-non-decrypted-2026-09-24.tsv
[DECODE:Ráday Archives] to c64 4d2	1	1705-1706	RAD_ARCH_Rakoczi_C64_4d2_10_92	unknown (~4 pages on record, not signs)	none (DECODE non-decrypted)	0/1	none on record	sources/decode/records-non-decrypted-2026-09-24.tsv
[DECODE:Military History Archive] to 1548	1	1548-1548	MILITARIA_ARCH_1548_3	unknown (~8 pages on record, not signs)	none (DECODE non-decrypted)	0/1	none on record	sources/decode/records-non-decrypted-2026-09-24.tsv
[DECODE:Vatican Secret Archive] to 1025	1	1767-1767	ASV_i1025_SdS_Spain_304-1	unknown (~4 pages on record, not signs)	none (DECODE non-decrypted)	0/1	none on record	sources/decode/records-non-decrypted-2026-09-24.tsv
[DECODE:Vatican Secret Archive] to arch	1	1721-1721	ASV_ARCH_Nunz_Colonia_5-1	unknown (~1 pages on record, not signs)	none (DECODE non-decrypted)	0/1	none on record	sources/decode/records-non-decrypted-2026-09-24.tsv
august saksen to willem oranje	9	1561-1567	BVAN ; KHAG ; SAD; DNOK ; GPA ; HHSAWB ; KHAG ; SAD; DNOK ; HHSAWB ; KHAG ; SAD; KHAG ; SAD; SAD	unknown	none	0/9	none on record	sources/wvo/cipher-letters-2026-09-24.tsv
gedeputeerden duitse to willem oranje	2	1579-1579	AGSV; AGSV ; DAGS ; GCGT	unknown	none	0/2	none on record	sources/wvo/cipher-letters-2026-09-24.tsv
reinier cant to willem oranje	1	1576-1576	KHAG	unknown	none	0/1	none on record	sources/wvo/cipher-letters-2026-09-24.tsv
guislain fiennes to willem oranje	1	1576-1576	KHAG	unknown	none	0/1	none on record	sources/wvo/cipher-letters-2026-09-24.tsv
guillaume david to willem oranje	1	1576-1576	GPA ; KHAG	unknown	none	0/1	none on record	sources/wvo/cipher-letters-2026-09-24.tsv
johan junius to willem oranje	1	1576-1576	KHAG	unknown	none	0/1	none on record	sources/wvo/cipher-letters-2026-09-24.tsv
michel huguerye to willem oranje	1	1574-1574	GPAS ; KHAG	unknown	none	0/1	none on record	sources/wvo/cipher-letters-2026-09-24.tsv
willem gulik to willem oranje	1	1566-1566	KHAG	unknown	none	0/1	none on record	sources/wvo/cipher-letters-2026-09-24.tsv
jan der to willem oranje	1	1579-1579	AGSV ; DAGS ; GCGT	unknown	none	0/1	none on record	sources/wvo/cipher-letters-2026-09-24.tsv
heinrich otto to willem oranje	1	1579-1579	AGSV ; DAGS	unknown	none	0/1	none on record	sources/wvo/cipher-letters-2026-09-24.tsv
venetian with to seigneur garbino	1	1528-1528	BnF Clair.327 ff.279-280; BnF fr.2988 f.2, f.9; fr.3019 f.73; fr.3022 f.44	unknown	none	0/1	none on record	CATALOG.md
serno gilino	1	1527-1527	(with Bishop of Worcester papers)	unknown	none	0/1	none on record	CATALOG.md
throckmorton to elizabeth	1	1559-1559	BL Add MS 4136	unknown	none	0/1	none on record	CATALOG.md
john wood to cecil	1	1568-1568	BL Add MS 4136	unknown	none	0/1	none on record	CATALOG.md
william davison to walsingham	1	1584-1584	see page	unknown	none	0/1	none on record	CATALOG.md
ciphertexts cotton	1	unknown	BL	unknown	none	0/1	none on record	CATALOG.md
last ten to garcilaso vega	1	1498-1498	see Parisi (2004) p.115	unknown	none	0/1	none on record	CATALOG.md
viceroy sicily to ferdinand	1	1503-1503	BnF Esp.318 ff.120-121	unknown	none	0/1	none on record	CATALOG.md
lorenzo suarez to ferdinand isabella	1	1504-1504	BnF Esp.318 f.118	unknown	none	0/1	none on record	CATALOG.md
jan 1497	1	1497-1497	BnF Esp.318 f.122	unknown	none	0/1	Lasry	CATALOG.md
charles december	1	1521-1521	see page	unknown	none	0/1	none on record	CATALOG.md
two juan	1	1521-1521	BRAH R9499-R9529 in DECODE	unknown	none	0/1	none on record	CATALOG.md
Report to charles	1	1527-1527	BnF fr.3022 f.16 etc.	unknown	none	0/1	Lasry	CATALOG.md
matheo segura to constable castile	1	1596-1596	BnF es.336 f.196 no.99	unknown	none	0/1	none on record	CATALOG.md
earliest french	1	1526-1526	see page	unknown	none	0/1	none on record	CATALOG.md
catherine medicis to philibert croc	1	1567-1567	Destray (1924) p.53 and plate	unknown	none	0/1	none on record	CATALOG.md
blancmesnil to nevers	1	unknown	BnF fr.3633 f.24	unknown	none	0/1	none on record	CATALOG.md
guise 151	1	1581-1581	BnF fr.15564 f.151	unknown	none	0/1	none on record	CATALOG.md
henry iii to segur	1	1583-1583	BnF 500 de Colbert 401	unknown	none	0/1	none on record	CATALOG.md
henry to savary breves	1	1610-1610	see page	unknown	none	0/1	Lasry	CATALOG.md
marie medici to breves	1	1610-1610	see page	unknown	none	0/1	none on record	CATALOG.md
vatican challenge	1	1542-1542	MTC3 level X	unknown	none	0/1	none on record	CATALOG.md
bnf 4715	1	1590-1590	BnF fr.4715	unknown	none	0/1	Lasry	CATALOG.md
bnf 4712	1	1590-1590	BnF fr.4712	unknown	none	0/1	none on record	CATALOG.md
joyeuse to villars	1	1594-1594	Cinq Cents de Colbert 33 f.539	unknown	none	0/1	none on record	CATALOG.md
cocquet to mangot	1	1616-1616	BnF Clair.369 f.316	unknown	none	0/1	none on record	CATALOG.md
sertori novel	1	1590-1590	BN Madrid Ms.994	unknown	none	0/1	none on record	CATALOG.md
fra guglielmo	1	1637-1637	see page	unknown	none	0/1	none on record	CATALOG.md
future ferdinand to trauttmansdorff	1	1634-1634	SOA Pilsen, Trauttmansdorff archive, carton 6 no.68	unknown	none	0/1	none on record	CATALOG.md
other sheets	1	1640-1640	DECODE R1579	unknown	none	0/1	none on record	CATALOG.md
ferdinand iii to infante	1	1634-1634	DECODE R1887	unknown	none	0/1	Aymeloglu	CATALOG.md
third three	1	1627-1644	DECODE R1408 or R2179	unknown	none	0/1	Bourdeau	CATALOG.md
georg adam	1	1758-1758	see page	unknown	none	0/1	none on record	CATALOG.md
sabran	1	1630-1630	see page	unknown	none	0/1	none on record	CATALOG.md
antoine bordeaux	1	1653-1653	BL Add MS 4200 f.88; DECODE R8390	unknown	none	0/1	none on record	CATALOG.md
condé to barrière also	1	1654-1654	BL Add MS 4200 f.98, f.101; DECODE R8395, R8398	unknown	none	0/1	none on record	CATALOG.md
charost	1	1673-1673	Mélanges de Colbert 172 f.23	unknown	none	0/1	none on record	CATALOG.md
abbé gravel to maulevrier	1	1674-1674	Mélanges de Colbert 168bis f.553	unknown	none	0/1	none on record	CATALOG.md
few words	1	1665-1665	Mélanges de Colbert 127 f.349	unknown	none	0/1	none on record	CATALOG.md
charles to boswell	1	1643-1643	TNA	unknown	none	0/1	none on record	CATALOG.md
charles henrietta	1	1645-1645	see page	unknown	none	0/1	none on record	CATALOG.md
charles isle	1	1648-1648	see page	unknown	none	0/1	none on record	CATALOG.md
intercepted to charles	1	1646-1646	BL Add MS 72438 f.10; DECODE R8624	unknown	none	0/1	none on record	CATALOG.md
craven to rupert	1	1648-1648	BL Add MS 18982 ff.134-135; DECODE R8447	unknown	none	0/1	none on record	CATALOG.md
intercepted hyde	1	1659-1659	BL Add MS 4166 ff.92-93; DECODE R4886	unknown	none	0/1	none on record	CATALOG.md
intercepted thurloe	1	1659-1659	Thurloe State Papers vol.7 pp.860-869	unknown	none	0/1	none on record	CATALOG.md
dutch beverning to boreel	1	1653-1653	Thurloe State Papers	unknown	none	0/1	none on record	CATALOG.md
intercepted gard to white	1	1656-1656	Thurloe State Papers vol.5	unknown	none	0/1	none on record	CATALOG.md
louis xiv to castaignère	1	1690-1690	Rycaut, History of the Turks p.453 ff.	unknown	none	0/1	Tomokiyo	CATALOG.md
louis xiv to chaulnes	1	1690-1690	see page	unknown	none	0/1	none on record	CATALOG.md
marshal catinat	1	1702-1702	see page	unknown	none	0/1	none on record	CATALOG.md
torcy to french ministers	1	1710-1710	BL Add MS 61575 ff.38-41; DECODE R8755	unknown	none	0/1	none on record	CATALOG.md
marshal villars to abbé polignac	1	1710-1710	BL Add MS 61575 f.44; DECODE R8756	unknown	none	0/1	none on record	CATALOG.md
encoded to marshal marmont	1	1807-1807	Vilcoq (1969)	unknown	none	0/1	none on record	CATALOG.md
armstrong to madison	1	1808-1808	see page	unknown	none	0/1	none on record	CATALOG.md
british consulate to foreign office	1	1911-1911	Klaus Schmeh's blog, 15 Jan 2016	unknown	none	0/1	none on record	CATALOG.md
japanese diplomatic	1	1920-1920	The American Black Chamber	unknown	none	0/1	none on record	CATALOG.md
telegrams from	1	1938-1938	Zhongshan Warship Museum	unknown	none	0/1	none on record	CATALOG.md
two telegrams to london	1	1937-1937	Schmeh's Facebook	unknown	none	0/1	none on record	CATALOG.md
enigma message	1	1945-1945	Schmeh's blog, 7 Jan 2019	unknown	none	0/1	none on record	CATALOG.md
